温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
5,1,2,4100,1000,0,,,1.7,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
5,2,2,4100,1000,0,,,1.7,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
5,3,2,4100,1000,0,,,1.65,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
5,4,2,4100,1000,0,,,1.65,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
5,5,2,4100,1000,0,,,1.55,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
5,6,2,4100,1000,0,,,1.45,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
5,7,2,4100,1000,0,,,1.35,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
5,8,2,4100,1000,0,,,1.35,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
5,9,2,4100,1000,0,,,1.25,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,1,75,85
5,10,2,4100,1000,0,,,1.25,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,2,75,85
5,11,2,4100,1000,0,,,1.25,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,3.7,75,85
5,12,2,4100,1000,0,,,1.15,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,13,85,95
5,13,2,4100,1000,0,,,1.15,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,14,85,95
5,14,2,4100,1000,0,,,1.05,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
5,15,2,4100,1000,0,,,0.85,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
6,1,2,4100,1000,0,,,1.7,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
6,2,2,4100,1000,0,,,1.7,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
6,3,2,4100,1000,0,,,1.65,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
6,4,2,4100,1000,0,,,1.65,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
6,5,2,4100,1000,0,,,1.5,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
6,6,2,4100,1000,0,,,1.45,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
6,7,2,4100,1000,0,,,1.3,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
6,8,2,4100,1000,0,,,1.3,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
6,9,2,4100,1000,0,,,1.2,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
6,10,2,4100,1000,0,,,1.2,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
6,11,2,4100,1000,0,,,1.2,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,1,75,85
6,12,2,4100,1000,0,,,1.1,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,2,85,95
6,13,2,4100,1000,0,,,1.1,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,4,85,95
6,14,2,4100,1000,0,,,1,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
6,15,2,4100,1000,0,,,0.7,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
7,1,2,4100,1000,0,,,1.7,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
7,2,2,4100,1000,0,,,1.7,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
7,3,2,4100,1000,0,,,1.6,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
7,4,2,4100,1000,0,,,1.6,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
7,5,2,4100,1000,0,,,1.4,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
7,6,2,4100,1000,0,,,1.4,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
7,7,2,4100,1000,0,,,1.2,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
7,8,2,4100,1000,0,,,1.2,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
7,9,2,4100,1000,0,,,1.1,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
7,10,2,4100,1000,0,,,1.1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
7,11,2,4100,1000,0,,,1.1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
7,12,2,4100,1000,0,,,1,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
7,13,2,4100,1000,0,,,1,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,1,85,95
7,14,2,4100,1000,0,,,0.9,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,2,95,105
7,15,2,4100,1000,0,,,0.6,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,4.5,95,105
